[pid 691834] 1680200962.105672 openssl.so->Init_ossl_x509revoked(0x7f2e20e391a8, 0x110510c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.105783 openssl.so->Init_ossl_x509store(0x7f2e20e38f28, 0xf0c10c, 0, 0x7f2e331fa270 <unfinished ...>
[pid 691834] 1680200962.105866 openssl.so->CRYPTO_get_ex_new_index(5, 0, 0x7f2e20f7a0f2, 0) = 1
[pid 691834] 1680200962.105967 openssl.so->CRYPTO_get_ex_new_index(4, 0, 0x7f2e20f7a130, 0) = 1
[pid 691834] 1680200962.106085 <... Init_ossl_x509store resumed> ) = 0
[pid 691834] 1680200962.106197 openssl.so->X509_get_default_cert_area(0x7f2e20e3a508, 0x1188b0c, 0, 0x7f2e331fa270) = 0x7f2e20bf8888
[pid 691834] 1680200962.106308 openssl.so->X509_get_default_cert_dir(0x7f2e20e3a508, 0x1189b0c, 0, 0x7f2e331fa270) = 0x7f2e20bf88c0
[pid 691834] 1680200962.106409 openssl.so->X509_get_default_cert_file(0x7f2e20e3a508, 0x118ab0c, 0, 0x7f2e331fa270) = 0x7f2e20bf88f8
[pid 691834] 1680200962.106512 openssl.so->X509_get_default_cert_dir_env(0x7f2e20e3a508, 0x118bb0c, 0, 0x7f2e331fa270) = 0x7f2e20bf8932
[pid 691834] 1680200962.106612 openssl.so->X509_get_default_cert_file_env(0x7f2e20e3a508, 0x118cb0c, 0, 0x7f2e331fa270) = 0x7f2e20bf893f
[pid 691834] 1680200962.106711 openssl.so->X509_get_default_private_dir(0x7f2e20e3a508, 0x118db0c, 0, 0x7f2e331fa270) = 0x7f2e20bf8848
[pid 691834] 1680200962.106809 <... Init_ossl_x509 resumed> ) = 0
[pid 691834] 1680200962.106838 openssl.so->Init_ossl_ocsp(0x7f2e20e3a508, 0x118eb0c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.106994 openssl.so->Init_ossl_engine(0x7f2e20e38668, 0x11c2b0c, 0, 0x7f2e331fa270) = 0
[pid 691834] 1680200962.107093 openssl.so->Init_ossl_asn1(0x7f2e20e38668, 0x11c2b0c, 0, 0x7f2e331fa270) = 3025
[pid 691834] 1680200962.107336 openssl.so->Init_ossl_kdf(0xbd10c, 0x7f2e255df470, 0, 14) = 0
[pid 691834] 1680200962.160263 openssl.so->ossl_to_der_if_possible(0x7f2e210252a0, 0, 0, 1) = 0x7f2e210252a0
[pid 691834] 1680200962.160502 openssl.so->ossl_obj2bio(0x7ffdf5534a28, 156, 1, 0xf0c10c <unfinished ...>
[pid 691834] 1680200962.160634 openssl.so->BIO_new_mem_buf(0x7f2e210252b8, 424, 0x7ffdf5534990, 424) = 0x1fd6e50
[pid 691834] 1680200962.160740 <... ossl_obj2bio resumed> ) = 0x1fd6e50
[pid 691834] 1680200962.160771 openssl.so->ASN1_d2i_bio(0x7f2e20975cf3, 0x7f2e209728a2, 0x1fd6e50, 0) = 0
[pid 691834] 1680200962.160886 openssl.so->BIO_ctrl(0x1fd6e50, 1, 0, 0) = 1
[pid 691834] 1680200962.160987 openssl.so->ossl_clear_error(0x1fd6e50, 0x1fdcaa0, 0, 0x1fdca70 <unfinished ...>
[pid 691834] 1680200962.161067 openssl.so->ERR_clear_error(0x1fd6e50, 0x1fdcaa0, 0, 0x1fdca70) = 0x1edc8c0
[pid 691834] 1680200962.161163 <... ossl_clear_error resumed> ) = 0x1edc8c0
[pid 691834] 1680200962.161212 openssl.so->ossl_pkey_read_generic(0x1fd6e50, 4, 1, 4096 <unfinished ...>
[pid 691834] 1680200962.161301 openssl.so->OSSL_DECODER_CTX_new_for_pkey(0x7ffdf55349c8, 0x7f2e20f75459, 0, 0) = 0x1fddbf0
[pid 691834] 1680200962.163363 openssl.so->OSSL_DECODER_CTX_set_pem_password_cb(0x1fddbf0, 0x7f2e20f32cdd, 4, 0x7f2e20f32cdd) = 1
[pid 691834] 1680200962.163670 openssl.so->OSSL_DECODER_from_bio(0x1fddbf0, 0x1fd6e50, 0x1fd6e50, 3072) = 0
[pid 691834] 1680200962.164105 openssl.so->ERR_print_errors_fp(0x7f2e32edd780, 0, 0x7f2e20bdf590, 29) = 1
[pid 691834] 1680200962.164230 openssl.so->BIO_ctrl(0x1fd6e50, 1, 0, 0) = 1
[pid 691834] 1680200962.164383 openssl.so->ossl_clear_error(0x1fd6e50, 0x1fdcaa0, 0, 0x1fdca70 <unfinished ...>
[pid 691834] 1680200962.164517 openssl.so->ERR_clear_error(0x1fd6e50, 0x1fdcaa0, 0, 0x1fdca70) = 0x1edc8c0
[pid 691834] 1680200962.164701 <... ossl_clear_error resumed> ) = 0x1edc8c0
[pid 691834] 1680200962.164731 openssl.so->OSSL_DECODER_CTX_set_input_type(0x1fddbf0, 0x7f2e20f75489, 0x7f2e20f75489, 0x7f2e20bd8290) = 1
[pid 691834] 1680200962.164833 openssl.so->OSSL_DECODER_CTX_set_selection(0x1fddbf0, 135, 0x7f2e20f75489, 0x7f2e20bd8290) = 1
[pid 691834] 1680200962.164935 openssl.so->OSSL_DECODER_from_bio(0x1fddbf0, 0x1fd6e50, 0x1fd6e50, 3072) = 0
[pid 691834] 1680200962.165085 openssl.so->ERR_print_errors_fp(0x7f2e32edd780, 0, 0x7f2e20bdf590, 29) = 1
[pid 691834] 1680200962.165188 openssl.so->BIO_ctrl(0x1fd6e50, 2, 0, 0) = 1
[pid 691834] 1680200962.165294 openssl.so->BIO_ctrl(0x1fd6e50, 1, 0, 0) = 1
[pid 691834] 1680200962.165392 openssl.so->ossl_clear_error(0x1fd6e50, 0x1fdcaa0, 0, 0x1fdca70 <unfinished ...>
[pid 691834] 1680200962.165470 openssl.so->ERR_clear_error(0x1fd6e50, 0x1fdcaa0, 0, 0x1fdca70) = 0x1edc8c0
[pid 691834] 1680200962.165564 <... ossl_clear_error resumed> ) = 0x1edc8c0
[pid 691834] 1680200962.165593 openssl.so->OSSL_DECODER_CTX_set_selection(0x1fddbf0, 0, 0, 0x7f2e20bd8290) = 1
[pid 691834] 1680200962.165691 openssl.so->OSSL_DECODER_from_bio(0x1fddbf0, 0x1fd6e50, 0x1fd6e50, 3072) = 1
[pid 691834] 1680200962.165865 openssl.so->OSSL_DECODER_CTX_free(0x1fddbf0, 0, 0x7f2e20bdf590, 29) = 0
[pid 691834] 1680200962.165965 <... ossl_pkey_read_generic resumed> ) = 0x1ff2610
[pid 691834] 1680200962.165996 openssl.so->BIO_free(0x1fd6e50, 0x1c3c010, 0x1ff3bbd, 5) = 1
[pid 691834] 1680200962.166097 openssl.so->EVP_PKEY_get_base_id(0x1ff2610, 0x1c3c010, 0x1ff2e66, 7) = 28
[pid 691834] 1680200962.166212 openssl.so->X509_STORE_new(0x1c3daa0, 0, 0, 1038) = 0x1ff3b40
[pid 691834] 1680200962.166325 openssl.so->X509_STORE_set_verify_cb(0x1ff3b40, 0x7f2e20f711b7, 0x7f2e20f711b7, 0x7f2e20f7134a) = 0x1ff3b40
[pid 691834] 1680200962.166427 openssl.so->X509_STORE_set_ex_data(0x1ff3b40, 1, 4, 1) = 1
[pid 691834] 1680200962.166538 openssl.so->X509_STORE_set_default_paths(0x1ff3b40, 0x7f2e20f8c640, 0x7f2e20f8c640, 0x7f2e20f717cf) = 1
[pid 691834] 1680200962.166674 openssl.so->X509_STORE_set_flags(0x1ff3b40, 8, 8, 0x7f2e20f71452) = 1
[pid 691834] 1680200962.168204 openssl.so->ossl_obj2bio(0x7ffdf55356d8, 0, 0, 1 <unfinished ...>
[pid 691834] 1680200962.168291 openssl.so->BIO_new_mem_buf(0x1ffaa80, 3272, 3272, 3272) = 0x1ff6300
[pid 691834] 1680200962.168387 <... ossl_obj2bio resumed> ) = 0x1ff6300
[pid 691834] 1680200962.168417 openssl.so->ossl_pem_passwd_value(4, 1, 1, 3072) = 4
[pid 691834] 1680200962.168515 openssl.so->ossl_pkey_read_generic(0x1ff6300, 4, 4, 3072 <unfinished ...>
[pid 691834] 1680200962.168592 openssl.so->OSSL_DECODER_CTX_new_for_pkey(0x7ffdf5535678, 0x7f2e20f75459, 0, 0) = 0x1ff6c20
[pid 691834] 1680200962.169816 openssl.so->OSSL_DECODER_CTX_set_pem_password_cb(0x1ff6c20, 0x7f2e20f32cdd, 4, 0x7f2e20f32cdd) = 1
[pid 691834] 1680200962.169941 openssl.so->OSSL_DECODER_from_bio(0x1ff6c20, 0x1ff6300, 0x1ff6300, 3072) = 0
[pid 691834] 1680200962.170116 openssl.so->ERR_print_errors_fp(0x7f2e32edd780, 0, 0x7f2e20bdf590, 29) = 1
[pid 691834] 1680200962.170220 openssl.so->BIO_ctrl(0x1ff6300, 1, 0, 0) = 1
[pid 691834] 1680200962.170324 openssl.so->ossl_clear_error(0x1ff6300, 0x1ff7db0, 0, 0x1eb5bc0 <unfinished ...>
[pid 691834] 1680200962.170403 openssl.so->ERR_clear_error(0x1ff6300, 0x1ff7db0, 0, 0x1eb5bc0) = 0x1edc8c0
[pid 691834] 1680200962.170498 <... ossl_clear_error resumed> ) = 0x1edc8c0
[pid 691834] 1680200962.170527 openssl.so->OSSL_DECODER_CTX_set_input_type(0x1ff6c20, 0x7f2e20f75489, 0x7f2e20f75489, 0x7f2e20bd8290) = 1
[pid 691834] 1680200962.170624 openssl.so->OSSL_DECODER_CTX_set_selection(0x1ff6c20, 135, 0x7f2e20f75489, 0x7f2e20bd8290) = 1
[pid 691834] 1680200962.170722 openssl.so->OSSL_DECODER_from_bio(0x1ff6c20, 0x1ff6300, 0x1ff6300, 3072) = 0
[pid 691834] 1680200962.170973 openssl.so->ERR_print_errors_fp(0x7f2e32edd780, 0, 0x7f2e20bdf590, 29) = 1
[pid 691834] 1680200962.171080 openssl.so->BIO_ctrl(0x1ff6300, 2, 0, 0) = 1
[pid 691834] 1680200962.171180 openssl.so->BIO_ctrl(0x1ff6300, 1, 0, 0) = 1
[pid 691834] 1680200962.171284 openssl.so->ossl_clear_error(0x1ff6300, 0x1ff7db0, 0, 0x1eb5bc0 <unfinished ...>
[pid 691834] 1680200962.171362 openssl.so->ERR_clear_error(0x1ff6300, 0x1ff7db0, 0, 0x1eb5bc0) = 0x1edc8c0
[pid 691834] 1680200962.171456 <... ossl_clear_error resumed> ) = 0x1edc8c0
[pid 691834] 1680200962.171486 openssl.so->OSSL_DECODER_CTX_set_selection(0x1ff6c20, 0, 0, 0x7f2e20bd8290) = 1
[pid 691834] 1680200962.171584 openssl.so->OSSL_DECODER_from_bio(0x1ff6c20, 0x1ff6300, 0x1ff6300, 3072) = 0
[pid 691834] 1680200962.171780 openssl.so->ERR_print_errors_fp(0x7f2e32edd780, 0, 0x7f2e20bdf590, 29) = 1
[pid 691834] 1680200962.171877 openssl.so->BIO_ctrl(0x1ff6300, 2, 0, 0) = 1
[pid 691834] 1680200962.171974 openssl.so->OSSL_DECODER_CTX_free(0x1ff6c20, 2, 0x7f2e20bb0138, 0x1ffb748) = 0
[pid 691834] 1680200962.172071 <... ossl_pkey_read_generic resumed> ) = 0
[pid 691834] 1680200962.172100 openssl.so->BIO_free(0x1ff6300, 0x1c3c010, 0x1ffbbd6, 5) = 1
[pid 691834] 1680200962.172198 openssl.so->ossl_raise(0x7f2e20e3dd48, 0x7f2e20f75535, 0x7f2e20f75535, 7 <unfinished ...>
[pid 691834] 1680200962.172286 openssl.so->ossl_make_error(0x7f2e20e3dd48, 0x7f2e225335c0, 0x7f2e225335c0, 4 <unfinished ...>
[pid 691834] 1680200962.172365 openssl.so->ERR_peek_last_error(0x7f2e20e3dd48, 0x7f2e225335c0, 0x7f2e225335c0, 4) = 0
[pid 691834] 1680200962.172464 <... ossl_make_error resumed> ) = 0x7f2e32bf34e0
-e:1:in `read': Could not parse PKey (OpenSSL::PKey::PKeyError)
	from -e:1:in `<main>'
[pid 691834] 1680200962.172743 openssl.so->EVP_PKEY_free(0x1ff2610, 0x116eb0, 32, 0x1c40600) = 0
[pid 691834] 1680200962.172849 openssl.so->X509_STORE_free(0x1ff3b40, 0x7ffdf5535918, 29, 161) = 0
[pid 691834] 1680200962.173505 libssl.so.3->OPENSSL_sk_pop_free(0x1f148a0, 0x7f2e20e7fd34, 0x1f365b0, 0x1f37ab3) = 0
[DEBUG] Calling ossl_pkey_read_generic from ossl_dh_initialize.
[DEBUG] Calling OSSL_DECODER_from_bio 1.
008CD0322E7F0000:error:1E08010C:DECODER routines:OSSL_DECODER_from_bio:unsupported:crypto/encode_decode/decoder_lib.c:101:No supported data to decode. Input type: DER
[DEBUG] Calling OSSL_DECODER_from_bio 2.
008CD0322E7F0000:error:1E08010C:DECODER routines:OSSL_DECODER_from_bio:unsupported:crypto/encode_decode/decoder_lib.c:101:No supported data to decode. Input type: PEM
[DEBUG] Calling OSSL_DECODER_from_bio 3.
[DEBUG] Calling ossl_pkey_read_generic from ossl_pkey_new_from_data.
[DEBUG] Calling OSSL_DECODER_from_bio 1.
008CD0322E7F0000:error:1E08010C:DECODER routines:OSSL_DECODER_from_bio:unsupported:crypto/encode_decode/decoder_lib.c:101:No supported data to decode. Input type: DER
[DEBUG] Calling OSSL_DECODER_from_bio 2.
[DEBUG] Calling OSSL_DECODER_from_bio 3.
[pid 691834] 1680200962.175722 +++ exited (status 1) +++
